time      scena_1refscena_2ref
       231     0,309    -0,373
       232      0,35    -0,297
       233     0,446    -0,341
       234     0,506    -0,193
       235     0,533    -0,337
       236     0,584    -0,332
       237     0,544    -0,307
       238     0,352    -0,209
       239     0,263    -0,332
       240      0,26    -0,398
       241     0,395    -0,417
       242     0,264    -0,278
       243     0,235    -0,441
       244     0,289    -0,462
       245     0,292    -0,447
       246     0,158    -0,342
       247     0,135    -0,259
       248     0,212    -0,271
       249     0,222    -0,358
       250     0,192    -0,265
       251     0,186    -0,303
       252     0,334     -0,31
       253     0,406    -0,272
       254     0,103    -0,086
       255     0,167    -0,108
       256     0,289    -0,279
       257     0,408    -0,248
       258     0,136    -0,294
       259      0,25    -0,337
       260     0,156    -0,293
       261     0,086     -0,27
       262     0,194    -0,199
       263     0,244    -0,141
       264     0,008    -0,117
       265     0,148    -0,223
       266     0,096    -0,105
       267     0,153    -0,163
       268     0,073    -0,088
       269     0,127    -0,143
       270      0,06    -0,076
       271     0,089    -0,078
       272     0,156     -0,15
       273     0,079    -0,088
       274     0,109    -0,264
       275     0,098    -0,213
       276     0,072     -0,11
       277     0,126    -0,148
       278     0,117     -0,15
       279     0,107    -0,168
       280     0,009     -0,03
       281     0,113    -0,181
       282     0,115    -0,124
       283     0,137    -0,112
       284     0,072    -0,032
       285     0,133    -0,119
       286     0,228    -0,133
       287     0,042    -0,142
       288    -0,003    -0,066
       289     0,088    -0,108
       290     0,136    -0,178
       291     0,015    -0,158
       292     -0,03    -0,103
       293     0,078     -0,15
       294     0,178      -0,2
       295     0,102    -0,059
       296      0,05    -0,087
       297    -0,018    -0,056
       298     0,161    -0,124
       299    -0,025    -0,008
       300    -0,002    -0,138
       301    -0,009    -0,133
       302    -0,016    -0,118
       303    -0,009    -0,094
       304     0,017     0,022
       305     0,001     0,008
       306     0,022    -0,102
       307     0,072    -0,127
       308     0,101    -0,179
       309     0,116    -0,193
       310     0,073    -0,174
       311     0,052    -0,231
       312     0,096    -0,198
       313    -0,005    -0,172
       314      0,05    -0,141
       315      0,08    -0,189
       316     0,094    -0,156
       317    -0,008    -0,148
       318    -0,072     -0,15
       319    -0,023     -0,12
       320      0,08    -0,228
       321    -0,006    -0,111
       322     0,023    -0,193
       323     0,088    -0,207
       324     0,107    -0,134
       325    -0,016     0,003
       326    -0,017    -0,012
       327     0,091    -0,138
       328     0,046    -0,109
       329     0,003    -0,044
       330    -0,017     -0,02
       331     0,032    -0,108
       332    -0,033    -0,081
       333     0,067    -0,199
       334    -0,086    -0,136
       335     0,067    -0,206
       336    -0,026    -0,177
       337     0,107    -0,311
       338    -0,089    -0,186
       339    -0,012    -0,009
       340     0,075    -0,098
       341     0,001  6,39E-14
       342     0,023    -0,105
       343     0,023    -0,158
       344    -0,009    -0,119
       345    -0,028     -0,05
       346    -0,023     -0,02
       347     -0,02  2,66E-14
       348    -0,017    -0,004
       349     0,001    -0,077
       350      0,07    -0,055
       351    -0,031    -0,003
       352     0,011    -0,006
       353    -0,015    -0,003
       354     0,039    -0,116
       355     0,022    -0,111
       356     0,027      -0,1
       357    -0,012    -0,007
       358    -0,033    -0,042
       359     0,024    -0,071
       360    -0,032    -0,031
       361      0,06    -0,215
       362       0,1     -0,28
       363     0,115    -0,239
       364     0,092    -0,269
       365         0   -273,15
